ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-546744,works,0,other,Избор на изпълнител за изпълн.на СМР на обект: “Инсталиране на ФЕЦ с мощност 60 kW на покривна констр.на съществ.сграда ,81806.7,BG423,с.Лесичово,ул. НИКОЛА ЧОЧКОВ №11-13,ОБЩИНА ЛЕСИЧОВО,207355956,Омега Пауър Груп ЕООД,,1,154,0,1
ocds-e82gsb-556273,works,0,other,Вътрешно преустройство и реновация без промяна на предназначението на Клиника по детска клинична хематология и онкология,1047357.83,BG411,гр. София,"ул. ""Бяло море"" № 8","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""ЦАРИЦА ЙОАННА-ИСУЛ"" ЕАД",207698969,МедСтройИнвест ЕООД,,3,306,0,1
ocds-e82gsb-377994,works,0,other,"„Изграждане на пристройка за физкултурен салон към сграда на НУ „Княз Борис I“, гр. Шумен“",468577.51,BG333,гр.Шумен,"гр. Шумен, ул. „Генерал Тотлебен“ 20","НАЧАЛНО УЧИЛИЩЕ ""КНЯЗ БОРИС ПЪРВИ""",127588059,ГАРАНТ СТРОЙ ООД,,6,699,26,1
ocds-e82gsb-431341,works,0,water,Доставка и монтаж на модулни пречиствателни станции за отпадъчни води (ПСОВ) с пет обособени позиции,27798.43,BG411,гр. София,ул. ТРИАДИЦА № 8,НАЦИОНАЛНА ЕЛЕКТРИЧЕСКА КОМПАНИЯ ЕАД,108516308,ЕТ АДИЗО - АНГЕЛ ДИМИТРОВ,,1,92,0,1
ocds-e82gsb-525646,works,0,roads,Извършване на СМР - монтаж и демонтаж на декоративни светещи елементи и присъединяването им към захванващата мрежа на ул,250000,BG411,гр.София,ул. МОСКОВСКА №33,СТОЛИЧНА ОБЩИНА,130596938,УЛИЧНО ОСВЕТЛЕНИЕ ЕАД,,11,364,0,0
ocds-e82gsb-555469,works,1,roads,"„Ремонт паркинги, гр. Монтана”",153387.56,BG312,гр. Монтана,ул. Извора №1,ОБЩИНА МОНТАНА,201144735,СТЕФСТРОЙ 2010 ЕООД,,2,286,0,0
ocds-e82gsb-555868,works,1,other,"Премахване на реконструкция на съществуващ амфитеатър, ситуиран в ПИ с идентификатор 11538.13.949 по КККР на град Свети ",34143.08,BG341,гр.Несебър,ул. ЕДЕЛВАЙС №.10,ОБЩИНА НЕСЕБЪР,205810451,Валдарам билдинг ЕООД,,4,14,0,0
ocds-e82gsb-526382,works,1,other,"„Ремонт на общински сгради по подобекти, както следва: Подобект 1: „Ремонт сграда ул. „Дружба“№12 трети етаж – ЦОП 2“ и ",26687.29,BG332,гр.Генерал Тошево,ул.ВАСИЛ АПРИЛОВ №.5,ОБЩИНА ГЕНЕРАЛ ТОШЕВО,834025452,МОНОЛИТ ООД,,12,89,0,1
ocds-e82gsb-546775,works,0,other,"Изб.на изп.за изп.на СМР на обект:Сп.площ.на ОУ „Хр.См.“ с.Тулово, нах.се в УПИ V-684, кв.30 по пл.на с.Т-во, предст.ПИ ",120000.94,BG344,гр.Мъглиж,пл. ТРЕТИ МАРТ №32,ОБЩИНА МЪГЛИЖ,204106476,ЕЛВИС ДМ ЕООД,,2,329,0,0
ocds-e82gsb-460639,works,1,water,"„Реконструкция на вътрешна водопроводна мрежа с. Малко Шарково, община Болярово“",1621188.99,BG343,гр.Болярово,ул. Д.БЛАГОЕВ №.7,ОБЩИНА БОЛЯРОВО,200075161,ИНФРАСТРУКТУРНИ СИСТЕМИ ЕООД,,7,320,0,1
ocds-e82gsb-491207,works,0,parks,"""Мерки за подобряване на енергийната ефективност на общинска детска градина с. Стефан Караджово, община Болярово, ПИ с и",285724.5,BG343,гр.Болярово,ул. Д.БЛАГОЕВ №.7,ОБЩИНА БОЛЯРОВО,202573221,ВОЛТРАН ЕООД,,7,92,0,1
ocds-e82gsb-542436,works,1,other,"Основен ремонт на сграда за ритуална дейност, с.Любен, община Ситово /първи етап/",142854.45,BG325,с.Ситово,ул. ТРЕТИ МАРТ №.72,ОБЩИНА СИТОВО,207914559,ДИ ЕС - 46 ЕООД,,1,278,0,0
ocds-e82gsb-525980,works,1,roads,"„ИЗПЪЛНЕНИЕ НА ИНЖЕНЕРИНГ ЗА АВАРИЕН РЕМОНТ НА УЛИЦИ В ГР. ДРАГОМАН, ОБЩИНА ДРАГОМАН, СОФИЙСКА ОБЛАСТ В ТРИ ОБОСОБЕНИ ПО",394717.33,BG412,гр.Драгоман,ул. ЗАХАРИ СТОЯНОВ № 26,ОБЩИНА ДРАГОМАН,203756421,ЮПИ ТРАНС 2015 ЕООД,,1,700,0,0
ocds-e82gsb-512530,works,0,other,"""Проектиране, изпълнение на строеж и упражняване на авторски надзор по време на строителството на жилищния сграден фонд ",527518.52,BG321,гр. Свищов,ул. Цанко Церковски №2,ОБЩИНА СВИЩОВ,175167270,ВАМАР ООД,,2,680,0,0
ocds-e82gsb-560317,works,1,water,"„ТЕКУЩ РЕМОНТ НА ВИК ИНСТАЛАЦИИ НА СГРАДА : ,,ОБЩЕЖИТИЕ КЪМ ТЕХНИКУМ ПО КЕРАМИКА“, УПИ I – за техникум по керамиика, кв.",145000,BG412,гр. Елин Пелин,"Пл. ""Независимост"" № 1",ОБЩИНА ЕЛИН ПЕЛИН,207568897,Експириънс билдинг ЕООД,,4,90,0,0
ocds-e82gsb-365817,works,1,parks,"„ Реконструкция и модернизация на сградата на Детска градина ""Славейче"", село Дерманци, общ. Луковит“",1147167.25,BG315,гр.Луковит,ул. ВЪЗРАЖДАНЕ № 73,ОБЩИНА ЛУКОВИТ,114674768,ЕВРОСТРОЙ РН ЕООД,,2,411,0,1
ocds-e82gsb-493825,works,0,other,"„Пристрояване на нов учебен корпус с класни стаи за целодневно обучение в СУ „Любен Каравелов” в УПИ I-общ., кв.57 по пл",2663797.55,BG341,гр.Несебър,ул. ЕДЕЛВАЙС №.10,ОБЩИНА НЕСЕБЪР,102701517,СРЕГИ ООД,,1,365,0,1
ocds-e82gsb-542314,works,1,water,"Инженеринг (проектиране, строителство и авторски надзор) за обект: „Основен ремонт и/или реконструкция на водопроводната",169646.65,BG423,гр.Велинград,ул. ХАН АСПАРУХ №.35,ОБЩИНА ВЕЛИНГРАД,201332388,Делчев Инженеринг ООД,,1,517,0,0
ocds-e82gsb-533233,works,1,other,"Извършване на дейности за ремонт, саниране, преустройство и разрушаване на архитектурно-строителна част на трафопостове ",56220.71,BG421,гр. Пловдив,ул. Христо Г. Данов №37,Електроразпределение Юг ЕАД,207911157,БИЛДИНГ 77 ЕООД,,2,730,0,0
