ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-524201,goods,0,other,"„Доставка на хранителни продукти за нуждите на детски ясли, млечна кухня, социални услуги в общността, специализирани ин",738533.28,BG342,гр.Сливен,бул. ЦАР ОСВОБОДИТЕЛ №.1,ОБЩИНА СЛИВЕН,107544354,СТЕЛИТ 1 ЕООД,,2,729,0,0
ocds-e82gsb-562945,goods,0,other,"Доставка на природен газ /метан/ - компресиран, необходим за заведенията за социални услуги в община Козлодуй",40000,BG313,гр. Козлодуй,"ул. ""Христо Ботев"" № 13",ОБЩИНА КОЗЛОДУЙ,106581264,ЕКОМЕТАН ВРАЦА ООД,,3,730,0,0
ocds-e82gsb-531679,goods,0,other,"Избор на доставчик на нетна активна електрическа енергия средно напрежение от координатор на балансираща група, пълно ад",89.48,BG411,София,"бул. ""Цариградско шосе"" № 133А",ГДБОП,202668908,СИНЕРГОН ЕНЕРДЖИ ООД,,3,364,0,0
ocds-e82gsb-502658,services,0,other,"Избор на консултант по чл. 166, ал. 1 от ЗУТ за упражняване на строителен надзор по време на изпълнение на обекти на общ",3144.45,BG341,гр.Айтос,ул. ЦАР ОСВОБОДИТЕЛ №.3,ОБЩИНА АЙТОС,205106835,ПГМ 28 КОНСУЛТ ООД,,8,59,0,0
ocds-e82gsb-153007,services,0,other,„Приготвяне и доставка на топъл обяд на уязвими групи лица на територията на община Кирково“ по Оперативна програма за х,64678.63,BG425,с. Кирково,"ул. ""Дружба"" №1",ОБЩИНА КИРКОВО,201375868,ПРОГРЕС - 210 ООД,,2,58,61,1
ocds-e82gsb-561737,goods,0,other,"„Доставка, монтаж и демонтаж на нова и наем, монтаж и демонтаж на великденска украса за град Сливен“ в 2 обособени позиц",8649,BG342,гр.Сливен,бул. ЦАР ОСВОБОДИТЕЛ №.1,ОБЩИНА СЛИВЕН,206245115,СЪНШАЙН ИНЖЕНЕРИНГ ЕООД,,4,47,0,0
ocds-e82gsb-561633,goods,0,other,"Обявление за възложена поръчка на основание чл. 266а, ал. 5, т. 3 от Закона за лекарствените продукти в хуманната медици",62927.25,BG411,гр. София,бул. Акад. Иван Гешов № 15,"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВ. ИВАН РИЛСКИ"" ЕАД",205544876,РЕИМЕКС ФАРМА ООД,,2,365,0,0
ocds-e82gsb-548433,goods,0,other,"Доставка, монтаж и гаранционна поддръжка на оборудване",8979.82,BG314,гр.Плевен,жк.ДРУЖБА,"ДЪРЖАВНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ ""ИНТЕЛЕКТ""",175063752,КЕЙСИЕМ ЕООД,,3,82,0,0
ocds-e82gsb-562502,goods,0,other,Доставки на психиатрични медикаменти – таблетна форма за нуждите на Държавна психиатрична болница - гр. Бяла за период о,18787.22,BG323,гр.Бяла,ул. ДРЯНОВО №.3,ПСИХИАТРИЧНА БОЛНИЦА - ГР.БЯЛА,203283623,ФЬОНИКС Фарма ЕООД,,4,365,0,0
ocds-e82gsb-562060,goods,0,other,„Доставка на лекарствен продукт за нуждите на МБАЛ “Д-р Братан Шукеров”АД“,13648.33,BG424,гр. Смолян,бул. БЪЛГАРИЯ №.2,МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - Д-Р БРАТАН ШУКЕРОВ АД,206534575,ДАНСОН ТРЕЙДИНГ ООД,,3,729,0,0
ocds-e82gsb-544184,services,0,other,"„Избор на изпълнител за предоставяне на консултантски услуги по управление, изпълнение и отчитане на проект: „Изграждане",52151.77,BG344,с.Братя Даскалови,ул.Септемврийци 55,ОБЩИНА БРАТЯ ДАСКАЛОВИ,202489872,АзУкЕн ООД,,2,125,0,0
ocds-e82gsb-560880,services,0,other,Предоставяне на електронни съобщителни услуги чрез обществени мобилни мрежи по стандарт GSM и UMTS с национално покритие,20451.67,BG411,София,"бул. ""Княгиня Мария Луиза"" № 114Б",Държавна агенция за бежанците при Министерския съвет,831642181,Виваком България ЕАД,,4,364,0,0
ocds-e82gsb-444262,services,0,other,"Направа на просеки, кастрене на клони и отсичане на дървета по съществуващи и новоизграждащи се линии средно и ниско нап",126800.39,BG421,гр. Пловдив,ул. Христо Г. Данов №37,Електроразпределение Юг ЕАД,201445215,БАЙТ 2011 ЕООД,,3,459,266,1
ocds-e82gsb-540806,services,0,other,"„Избор на оператор за осигуряване на комуникационна свързаност и достъп до интернет за нуждите на ТП „ДГС Славейно“, за ",1488,BG424,с. Славейно,"с. Славейно, общ. Смолян","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО-СЛАВЕЙНО""",200365727,ВАЛТОКС ЕООД,,1,730,0,0
ocds-e82gsb-542643,goods,0,other,Доставка на канцеларски материали за нуждите на РЗИ-Силистра,1565.05,BG325,гр.Силистра,ул.ПЕТЪР МУТАФЧИЕВ №.82,РЕГИОНАЛНА ЗДРАВНА ИНСПЕКЦИЯ - СИЛИСТРА,831176328,РОНОС ООД,,2,598,0,0
ocds-e82gsb-562239,goods,0,other,",,Доставка, монтаж и въвеждане в експлоатация на техническо и лабораторно оборудване за изграждане на СТЕМ среда в Профе",42031.79,BG314,гр.Плевен,ул.ГРИВИШКО ШОСЕ №.2,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""ЗАХАРИЙ ЗОГРАФ""",114616366,ВЕСЕЛИН БАЛЕВ ЕООД,,3,42,0,0
ocds-e82gsb-437204,services,1,other,"Покана 41 „Изготвяне на комплексен доклад за оценка за съответствието на инв проект, упражняване на стр. надзор, изготвя",3202.72,BG331,гр.Варна,бул. ОСМИ ПРИМОРСКИ ПОЛК №.43,ОБЩИНА ВАРНА,041061430,ИНЖКОНСУЛТПРОЕКТ ООД,,1,594,0,1
ocds-e82gsb-530830,goods,0,parks,"Доставка и монтаж на оборудване на нова детска градина в с.Грашево в УПИ-IV, кв.7 по плана на с.Грашево, общ. Велинград,",47958.16,BG423,гр.Велинград,ул. ХАН АСПАРУХ №.35,ОБЩИНА ВЕЛИНГРАД,205496666,БГ ИНТЕРНЕШЪНЪЛ ГРУП ЕООД,,2,249,0,0
ocds-e82gsb-563022,goods,0,roads,"Доставка на бутилирана вода в бутилки с вместимост 1,5 л. за нуждите на „Електроразпределение Север“ АД",51124,BG331,гр. Варна,"ВАРНА ТАУЪРС-Е, бул. ВЛАДИСЛАВ ВАРНЕНЧИК №.258",ЕЛЕКТРОРАЗПРЕДЕЛЕНИЕ СЕВЕР АД,127595228,НБС МЕРИТАЙМ ООД,,5,730,0,0
ocds-e82gsb-493131,services,0,other,Изграждане на модул „Приходи в републиканския бюджет“ към Информационно-статистическата система на Изпълнителна агенция ,529698.39,BG341,гр.Бургас,ул.КНЯЗ АЛЕКСАНДЪР БАТЕНБЕРГ №.1,ИЗПЪЛНИТЕЛНА АГЕНЦИЯ ПО РИБАРСТВО И АКВАКУЛТУРИ,201593301,ТехноЛогика ЕАД,,1,365,0,0
ocds-e82gsb-451421,goods,0,other,"Доставка на лекарства за нуждите на „ВТОРА МБАЛ - СОФИЯ“ ЕАД, по обособени позиции",3804.01,BG411,гр. София,бул. ХРИСТО БОТЕВ №.120,ВТОРА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-СОФИЯ ЕАД,206534575,ДАНСОН ТРЕЙДИНГ ООД,,2,405,0,1
ocds-e82gsb-336192,services,0,other,"„Извършване на застрахователна услуга на моторните превозни средства, собственост на Министерство на външните работи със",10681.71,BG411,гр.София,ул. Александър Жендов №2,МИНИСТЕРСТВО НА ВЪНШНИТЕ РАБОТИ,121265177,"ЗАСТРАХОВАТЕЛНО АКЦИОНЕРНО ДРУЖЕСТВО ""ОЗК - ЗАСТРАХОВАНЕ "" АД",,2,184,0,1
ocds-e82gsb-388457,works,0,other,"ВНЕДРЯВАНЕ НА МЕРКИ ЗА ЕНЕРГИЙНА ЕФЕКТИВНОСТ В СГРАДИТЕ НА КМЕТСТВО – С. ИСКРЕЦ И НА КМЕТСТВО – С. ВЛАДО ТРИЧКОВ, ПО ДВЕ",373883.86,BG412,гр.Своге,ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ №.7,ОБЩИНА СВОГЕ,203559349,СИС БИЛД ЕООД,,12,3,0,1
ocds-e82gsb-538180,services,0,other,Охрана на обекти и имущество на Русенски университет „Ангел Кънчев“ в град Видин,49636.22,BG323,гр.Русе,ул. СТУДЕНТСКА №.8,"РУСЕНСКИ УНИВЕРСИТЕТ ""АНГЕЛ КЪНЧЕВ""",202674010,УНИВЕРСАЛ СЕКЮРИТИ ООД,,2,730,0,0
ocds-e82gsb-560356,goods,0,parks,"„Доставка на едногодишни, двугодишни и многогодишни цветя, интериорни растения, декоративни храсти и дървета и други мат",157968.76,BG342,гр.Сливен,бул. ЦАР ОСВОБОДИТЕЛ №.1,ОБЩИНА СЛИВЕН,200921273,„Дендро Протект“ ЕООД,,5,730,0,0
ocds-e82gsb-544684,goods,0,other,Доставка на хранителни продукти за нуждите на ДГ „ИГЛИКА“ - град Силистра по обособени позиции,3585.43,BG325,гр.Силистра,ул.БОЙКА ВОЙВОДА №.31,"ДЕТСКА ГРАДИНА ""ИГЛИКА""",201324078,ЛЪКИ СИС ЕООД,,2,332,0,0
ocds-e82gsb-543182,goods,0,other,"Доставка на хранителни продукти за нуждите на детските и учебните заведения в Община Ситово, финансирани от бюджета на О",16361.34,BG325,с.Ситово,ул. ТРЕТИ МАРТ №.72,ОБЩИНА СИТОВО,201474640,ПАРАЛЕЛ 92 ТРЕЙД ЕООД,,2,364,0,0
ocds-e82gsb-563969,works,1,roads,"Избор на изпълнител на СРР по улична мрежа, пътна инфраструктура и съоръжения към нея за нуждите на община Велинград",398538.5,BG423,гр.Велинград,ул. ХАН АСПАРУХ №35,ОБЩИНА ВЕЛИНГРАД,112630417,ТРАНСМЕТАЛ ЕООД,,5,730,0,0
ocds-e82gsb-563372,goods,0,other,"„Доставка на стопански консуматив за нуждите на МБАЛ „Д-р Тота Венкова” АД, гр. Габрово“ включени в списъка по чл.12 от ",14963.05,BG322,гр. Габрово,ул. Д-Р ИЛИЕВ ДЕТСКИЯТ №.1,"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""Д-Р ТОТА ВЕНКОВА"" АД",148084977,АВГУСТА ЕООД,,6,365,0,1
ocds-e82gsb-142295,services,0,other,Охрана на военно формирование 18270,632594.86,BG411,гр. София,"бул. ""ген. Едуард И. Тотлебен"" №34",Съвместно командване на силите,121054073,ЕЛИТКОМ 95 ЕАД,,1,1460,59,1
ocds-e82gsb-544331,goods,1,other,"Доставка, гаранционно обслужване и ремонт на фабрично нови, неупотребявани, високо проходими товарни бордови автомобили ",633906,BG421,гр. Пловдив,ул. Христо Г. Данов №37,Електроразпределение Юг ЕАД,203638394,ТРИЕСТ 5 ООД,,3,1669,0,0
